operator,forms,gloss,class,n,init,fin,p_init,p_fin,p_adj_init,p_adj_fin,n_translated,kw_hits,precision,base_rate,p_assoc,p_assoc_adj
mi,mi,я (говорящий предмет),дейксис,154,138,8,0.00010,1.00000,0.00010,1.00000,74,57,0.770,0.036,0.00010,0.00010
mini,mini mine,меня,дейксис,22,18,0,0.00010,1.00000,0.00010,1.00000,19,19,1.000,0.012,0.00010,0.00010
clan,clan,сын (ном.),родство,23,0,10,1.00000,0.00070,1.00000,0.01040,13,13,1.000,0.029,0.00010,0.00010
sec,sec sech,дочь,родство,17,0,14,1.00000,0.00010,1.00000,0.00010,5,5,1.000,0.055,0.00010,0.00010
puia,puia,жена,родство,18,2,9,0.97180,0.01250,1.00000,0.19218,11,4,0.364,0.016,0.00010,0.00010
lupu,lupu lupuce,умер(ший),глагол-витал,11,0,8,1.00000,0.00030,1.00000,0.00340,9,7,0.778,0.008,0.00010,0.00010
svalce,svalce svalthas svalas,жил / при жизни,глагол-витал,7,0,3,1.00000,0.09939,1.00000,0.92051,5,5,1.000,0.005,0.00010,0.00010
avils,avils avilxs,лет (ген. возраста),мера-возраст,20,1,5,0.95510,0.13529,1.00000,0.98280,14,14,1.000,0.011,0.00010,0.00010
avil,avil,год,мера-возраст,11,1,4,0.90841,0.10359,1.00000,0.93831,6,4,0.667,0.009,0.00010,0.00010
ril,ril,в возрасте,мера-возраст,13,0,11,1.00000,0.00010,1.00000,0.00010,,,,,,
turce,turce turuce turice turke,посвятил/дал,глагол-посвящ,23,1,5,0.99210,0.43246,1.00000,1.00000,20,16,0.800,0.031,0.00010,0.00010
muluvanice,muluvanice muluvanike mulvanice mulvenice mulvannice muluvenice,подарил/посвятил,глагол-посвящ,13,0,7,1.00000,0.01760,1.00000,0.32167,12,12,1.000,0.022,0.00010,0.00010
zinace,zinace zinake,сделал/изготовил,глагол-изгот,6,0,2,1.00000,0.45885,1.00000,1.00000,,,,,,
zilath,zilath zilach zilth zilc zilci zilachnce zilachnuce,магистрат(-ство); zilaθ,титул,16,6,2,0.10419,0.93001,0.94371,1.00000,11,6,0.545,0.005,0.00010,0.00010
suthi,suthi suti suthith suthiu,гробница,объект-погреб,19,0,4,1.00000,0.51865,1.00000,1.00000,12,11,0.917,0.014,0.00010,0.00010
thui,thui,здесь,дейксис,13,3,1,0.33747,0.91741,1.00000,1.00000,10,7,0.700,0.006,0.00010,0.00010
tular,tular,границы,объект-граница,5,5,0,0.00520,1.00000,0.11329,1.00000,8,8,1.000,0.005,0.00010,0.00010
ais,ais eis aisar eiser,бог(и),сакрал,9,2,1,0.54965,0.86951,1.00000,1.00000,,,,,,
ame,ame amce,быть (есть/был),связка,16,0,8,1.00000,0.00090,1.00000,0.01540,8,5,0.625,0.024,0.00010,0.00010
itun,itun ita ica eca ca cn cen cehen,этот/эту (дейктики),дейксис,44,24,3,0.00010,0.99890,0.00010,1.00000,27,22,0.815,0.026,0.00010,0.00010
